"ID"	"Cell State"
"HKB0016_3006_T"	"S01"
"HKB0035_3006_T"	"S01"
"HKB0040_3002_T"	"S01"
"HKB0050_3005_T"	"S01"
"HKB0052_3000_T"	"S01"
"HKB0054_3000_T"	"S01"
"HKB0069_3000_T"	"S01"
"HKB0074_3000_T"	"S01"
"HKB0094_3006_T"	"S01"
"HKB0098_3005_T"	"S01"
"HKB0101_3000_T"	"S01"
"HKB0115_3006_T"	"S01"
"HKB0120_3000_T"	"S01"
"HKB0127_3006_T"	"S01"
"HKB0129_3000_T"	"S01"
"HKB0143_3006_T"	"S01"
"HKB0155_3000_T"	"S01"
"HKB0158_3006_T"	"S01"
"HKB0161_3001_T"	"S01"
"HKB0162_3006_T"	"S01"
"HKB0167_3006_T"	"S01"
"HKB0186_3000_T"	"S01"
"HKB0194_3006_T"	"S01"
"HKB0214_3006_T"	"S01"
"HKB0220_3000_T"	"S01"
"HKB0573_3000_T"	"S01"
"HKB0579_3000_T"	"S01"
"HKB0605_3000_T"	"S01"
"HKB0620_3000_T"	"S01"
"HKB0650_3000_T"	"S01"
"HKB0659_3000_T"	"S01"
"HKB0674_3000_T"	"S01"
"HKB0683_3000_T"	"S01"
"HKB0719_3002_T"	"S01"
"HKB0736_3000_T"	"S01"
"HKB0737_3000_T"	"S01"
"HKB0751_3000_T"	"S01"
"HKB0752_3000_T"	"S01"
"HKB0040_3000_N"	"S01"
"HKB0167_3000_N"	"S01"
"HKB0008_3006_T"	"S02"
"HKB0064_3004_T"	"S02"
"HKB0067_3006_T"	"S02"
"HKB0089_3001_T"	"S02"
"HKB0576_3000_T"	"S02"
"HKB0067_3000_N"	"S02"
"HKB0109_3000_N"	"S02"
"HKB0162_3000_N"	"S02"
"HKB0207_3000_N"	"S02"
"HKB0220_3003_N"	"S02"
"HKB0577_3000_N"	"S02"
"HKB0597_3000_N"	"S02"
"HKB0618_3000_N"	"S02"
"HKB0648_3000_N"	"S02"
"HKB0672_3000_N"	"S02"
"HKB0007_3005_T"	"S03"
"HKB0044_3006_T"	"S03"
"HKB0056_3002_T"	"S03"
"HKB0065_3006_T"	"S03"
"HKB0079_3006_T"	"S03"
"HKB0082_3006_T"	"S03"
"HKB0088_3000_T"	"S03"
"HKB0091_3001_T"	"S03"
"HKB0134_3006_T"	"S03"
"HKB0137_3002_T"	"S03"
"HKB0191_3001_T"	"S03"
"HKB0599_3000_T"	"S03"
"HKB0710_3000_T"	"S03"
"HKB0718_3000_T"	"S03"
"HKB0211_3000_N"	"S03"
"HKB0216_3000_N"	"S03"
