"ID"	"Cell State"
"HKB0129_3000_T"	"S01"
"HKB0160_3000_T"	"S01"
"HKB0004_3000_N"	"S01"
"HKB0005_3000_N"	"S01"
"HKB0006_3000_N"	"S01"
"HKB0019_3000_N"	"S01"
"HKB0023_3000_N"	"S01"
"HKB0033_3000_N"	"S01"
"HKB0035_3000_N"	"S01"
"HKB0036_3000_N"	"S01"
"HKB0038_3000_N"	"S01"
"HKB0040_3000_N"	"S01"
"HKB0044_3000_N"	"S01"
"HKB0049_3000_N"	"S01"
"HKB0050_3000_N"	"S01"
"HKB0052_3004_N"	"S01"
"HKB0064_3000_N"	"S01"
"HKB0067_3000_N"	"S01"
"HKB0074_3003_N"	"S01"
"HKB0079_3000_N"	"S01"
"HKB0094_3000_N"	"S01"
"HKB0096_3000_N"	"S01"
"HKB0097_3004_N"	"S01"
"HKB0098_3000_N"	"S01"
"HKB0102_3000_N"	"S01"
"HKB0106_3000_N"	"S01"
"HKB0109_3000_N"	"S01"
"HKB0115_3000_N"	"S01"
"HKB0120_3002_N"	"S01"
"HKB0121_3000_N"	"S01"
"HKB0122_3002_N"	"S01"
"HKB0123_3000_N"	"S01"
"HKB0124_3000_N"	"S01"
"HKB0129_3002_N"	"S01"
"HKB0132_3000_N"	"S01"
"HKB0133_3000_N"	"S01"
"HKB0137_3000_N"	"S01"
"HKB0143_3000_N"	"S01"
"HKB0149_3000_N"	"S01"
"HKB0150_3000_N"	"S01"
"HKB0155_3003_N"	"S01"
"HKB0157_3000_N"	"S01"
"HKB0158_3000_N"	"S01"
"HKB0159_3000_N"	"S01"
"HKB0160_3001_N"	"S01"
"HKB0161_3000_N"	"S01"
"HKB0162_3000_N"	"S01"
"HKB0164_3000_N"	"S01"
"HKB0167_3000_N"	"S01"
"HKB0179_3000_N"	"S01"
"HKB0186_3002_N"	"S01"
"HKB0194_3000_N"	"S01"
"HKB0196_3000_N"	"S01"
"HKB0198_3000_N"	"S01"
"HKB0207_3000_N"	"S01"
"HKB0210_3000_N"	"S01"
"HKB0211_3000_N"	"S01"
"HKB0214_3000_N"	"S01"
"HKB0219_3000_N"	"S01"
"HKB0220_3003_N"	"S01"
"HKB0221_3000_N"	"S01"
"HKB0222_3000_N"	"S01"
"HKB0227_3000_N"	"S01"
"HKB0538_3000_N"	"S01"
"HKB0571_3000_N"	"S01"
"HKB0574_3000_N"	"S01"
"HKB0577_3000_N"	"S01"
"HKB0583_3000_N"	"S01"
"HKB0597_3000_N"	"S01"
"HKB0618_3000_N"	"S01"
"HKB0636_3000_N"	"S01"
"HKB0648_3000_N"	"S01"
"HKB0651_3000_N"	"S01"
"HKB0657_3000_N"	"S01"
"HKB0663_3000_N"	"S01"
"HKB0666_3000_N"	"S01"
"HKB0672_3000_N"	"S01"
"HKB0710_3001_N"	"S01"
"HKB0718_3001_N"	"S01"
"HKB0719_3001_N"	"S01"
"HKB0722_3001_N"	"S01"
"HKB0744_3001_N"	"S01"
"HKB0748_3001_N"	"S01"
"HKB0751_3001_N"	"S01"
"HKB0752_3001_N"	"S01"
"HKB0064_3004_T"	"S02"
"HKB0752_3000_T"	"S02"
"HKB0127_3000_N"	"S02"
"HKB0078_3000_T"	"S03"
"HKB0086_3006_T"	"S03"
"HKB0088_3000_T"	"S03"
"HKB0102_3006_T"	"S03"
"HKB0141_3006_T"	"S03"
"HKB0158_3006_T"	"S03"
"HKB0179_3006_T"	"S03"
"HKB0191_3001_T"	"S03"
"HKB0222_3006_T"	"S03"
"HKB0226_3001_T"	"S03"
"HKB0230_3006_T"	"S03"
"HKB0552_3000_T"	"S03"
"HKB0585_3000_T"	"S03"
"HKB0748_3000_T"	"S03"
"HKB0141_3000_N"	"S03"
"HKB0225_3000_N"	"S03"
"HKB0233_3000_N"	"S03"
"HKB0562_3000_N"	"S03"
"HKB0040_3002_T"	"S04"
"HKB0054_3000_T"	"S04"
"HKB0074_3000_T"	"S04"
"HKB0120_3000_T"	"S04"
"HKB0161_3001_T"	"S04"
"HKB0167_3006_T"	"S04"
"HKB0186_3000_T"	"S04"
"HKB0220_3000_T"	"S04"
"HKB0573_3000_T"	"S04"
"HKB0674_3000_T"	"S04"
"HKB0736_3000_T"	"S04"
"HKB0751_3000_T"	"S04"
"HKB0007_3005_T"	"S05"
"HKB0008_3006_T"	"S05"
"HKB0023_3006_T"	"S05"
"HKB0033_3006_T"	"S05"
"HKB0038_3006_T"	"S05"
"HKB0049_3006_T"	"S05"
"HKB0052_3000_T"	"S05"
"HKB0098_3005_T"	"S05"
"HKB0101_3000_T"	"S05"
"HKB0164_3006_T"	"S05"
"HKB0168_3006_T"	"S05"
"HKB0207_3001_T"	"S05"
"HKB0208_3006_T"	"S05"
"HKB0209_3004_T"	"S05"
"HKB0564_3000_T"	"S05"
"HKB0576_3000_T"	"S05"
"HKB0579_3000_T"	"S05"
"HKB0665_3000_T"	"S05"
"HKB0701_3000_T"	"S05"
"HKB0719_3002_T"	"S05"
"HKB0737_3000_T"	"S05"
"HKB0216_3000_N"	"S05"
"HKB0143_3006_T"	"S06"
"HKB0226_3000_N"	"S06"
